Relative_Time(s),Ard_Micros,CH1(V),CH2(V),CH3(V),CH4(V),CH5(V),CH6(V)
23.516047,88720091,1.26056090,1.88415788,1.63036843,1.39172094,1.89512335,1.13284363
23.521764,88725808,1.26260296,1.88374601,1.62231226,1.39265435,1.90080308,1.13329186
23.528190,88732234,1.26506403,1.89592086,1.62699600,1.39217036,1.89519428,1.13582386
23.531327,88735371,1.26081482,1.88862167,1.62744720,1.39216380,1.89602696,1.13585247
23.538436,88742480,1.26096264,1.88829385,1.62726899,1.39246182,1.89579629,1.13618507
23.546332,88750376,1.26130775,1.88483141,1.62790914,1.39266090,1.89650022,1.13593830
23.549422,88753466,1.26143590,1.88929402,1.62798722,1.39308827,1.89666711,1.13633050
23.553655,88757699,1.26161829,1.88945614,1.62829657,1.39319615,1.89680361,1.13617493
23.556759,88760803,1.26191571,1.88980185,1.62857612,1.39339106,1.89731501,1.13635136
23.564027,88768071,1.26191750,1.89003609,1.62893672,1.39344768,1.89782106,1.13684549
23.572085,88776129,1.26179531,1.89019703,1.62930568,1.39372485,1.89750873,1.13674237
23.575209,88779253,1.26218453,1.88995622,1.62940581,1.39404671,1.89802312,1.13689138
23.582341,88786385,1.26228109,1.89039849,1.62923892,1.39392989,1.89790212,1.13704874
23.590319,88794363,1.26265958,1.89041160,1.62951489,1.39597611,1.89408265,1.14105298
23.593428,88797472,1.26286760,1.88608848,1.63442452,1.39245348,1.89618968,1.13605990
23.598713,88802757,1.26179531,1.88994132,1.62917693,1.39377968,1.89809405,1.13667382
23.601812,88805856,1.26265779,1.89067446,1.63015504,1.39408486,1.89836048,1.13686992
23.608996,88813040,1.26237765,1.89028166,1.62966390,1.39429943,1.89823590,1.13700046
23.617103,88821147,1.26246169,1.89048790,1.62955363,1.39413075,1.89814590,1.13687529
23.620221,88824265,1.26222626,1.89042412,1.62981410,1.39428573,1.89822935,1.13679780
23.627350,88831394,1.26245871,1.89017795,1.62971874,1.39431016,1.89814769,1.13708092
23.635332,88839376,1.26251415,1.89071380,1.62955065,1.39145629,1.89489208,1.13989546
23.638464,88842508,1.26298383,1.89107500,1.62633379,1.39421062,1.89448200,1.13974168
23.646054,88850098,1.26373783,1.89042233,1.62964661,1.39434593,1.89824544,1.13693012
23.653411,88857455,1.26226083,1.89030193,1.62973304,1.39389532,1.89847313,1.13660588
23.656435,88860479,1.26233474,1.89040266,1.62967046,1.39443772,1.89833902,1.13692714
23.664322,88868366,1.26247540,1.89027988,1.62975331,1.39405148,1.89819418,1.13680197
23.667345,88871389,1.26226202,1.89062439,1.62986298,1.39406996,1.89825438,1.13668098
23.674416,88878460,1.26211658,1.89031504,1.62974019,1.39398830,1.89813875,1.13913550
23.682331,88886375,1.26026228,1.88671313,1.63075109,1.39401631,1.89325832,1.14031924
23.685579,88889623,1.25952199,1.89763628,1.62959893,1.39585094,1.89869963,1.13680674
23.691151,88895195,1.26243487,1.89043127,1.62959774,1.39433997,1.89792894,1.13685621
23.698504,88902548,1.26247183,1.89066671,1.62959953,1.39423745,1.89833068,1.13666965
23.701600,88905644,1.26224235,1.89011358,1.62940164,1.39404433,1.89832233,1.13671495
23.709709,88913753,1.26206473,1.89069234,1.62953098,1.39395134,1.89826511,1.13639487
23.712807,88916851,1.26224771,1.89051770,1.62934859,1.39406042,1.89804100,1.13654150
23.719938,88923982,1.26207188,1.89031743,1.62926276,1.39377611,1.89834796,1.13677277
23.726902,88930946,1.25973538,1.89664029,1.62509699,1.39682250,1.89920150,1.13329722
23.730200,88934244,1.26417294,1.89059101,1.62911971,1.39410155,1.89812325,1.13641514
23.738387,88942431,1.26165167,1.88996457,1.62880202,1.39328556,1.89805471,1.13633587
23.744494,88948538,1.26182094,1.89050399,1.62857552,1.39366643,1.89805471,1.13614275
23.747593,88951637,1.26164213,1.88994728,1.62830670,1.39327483,1.89793729,1.13613857
23.755724,88959768,1.26143828,1.89005338,1.62796755,1.39295773,1.89792894,1.13596095
23.758815,88962859,1.26124874,1.88985132,1.62743588,1.39287965,1.89735137,1.13566114
23.765923,88969967,1.26112655,1.88985549,1.62713607,1.39266627,1.89992450,1.13555028
23.773910,88977954,1.25707463,1.89389669,1.62558217,1.39248805,1.89746462,1.13538517
23.777037,88981081,1.26061574,1.88942217,1.62691195,1.39219122,1.89686202,1.13526417
23.783294,88987338,1.26014665,1.88903533,1.62686308,1.39178769,1.89669393,1.13511099
23.790514,88994558,1.26014665,1.88925587,1.62625273,1.39148371,1.89623557,1.13498105
23.793617,88997661,1.25976220,1.88865446,1.62569721,1.39100807,1.89592622,1.13479151
23.801703,89005747,1.25947729,1.88842617,1.62533660,1.39112549,1.89588867,1.13470270
23.804804,89008848,1.25922576,1.88815855,1.62489076,1.39069514,1.89486228,1.13445772
23.811922,89015966,1.25869885,1.88796841,1.62486275,1.39027552,1.90333926,1.13485886
23.818959,89023003,1.25898734,1.88509308,1.62136574,1.38748543,1.89346992,1.13544001
23.822313,89026357,1.25911072,1.88845299,1.61963303,1.38990300,1.89416908,1.13414897
23.827772,89031816,1.25827924,1.88680254,1.62409504,1.38966875,1.89402662,1.13398565
23.835020,89039064,1.25816181,1.88641213,1.62354548,1.38939576,1.89331912,1.13369896
23.838123,89042167,1.25766829,1.88639484,1.62265260,1.38877706,1.89250551,1.13355292
23.846253,89050297,1.25725105,1.88576184,1.62259002,1.38815956,1.89192675,1.13299801
23.853410,89057454,1.25681117,1.88449167,1.62161250,1.38737993,1.89112030,1.13275959
23.856438,89060482,1.25639096,1.88423954,1.62101646,1.38724224,1.89003132,1.16987838
23.864460,89068504,1.25868872,1.87900387,1.62231763,1.38611214,1.88445829,1.13433792
23.867771,89071815,1.25511721,1.88207172,1.61920150,1.38540582,1.88731514,1.13149895
23.873956,89078000,1.25460997,1.88113533,1.61867221,1.38492660,1.88616239,1.13095118
23.881027,89085071,1.25390008,1.87968098,1.61722143,1.38358013,1.88510500,1.13048269
23.884131,89088175,1.25292555,1.87919222,1.61570151,1.38249712,1.88268803,1.12970246
23.892247,89096291,1.25198618,1.87752984,1.61489804,1.38189034,1.88207112,1.12909867
23.899401,89103445,1.25127092,1.87535726,1.61373038,1.38058560,1.88007139,1.12843408
23.902439,89106483,1.25047520,1.83616183,1.61302169,1.38348656,1.91381596,1.12922742
23.910445,89114489,1.24993339,1.87048338,1.61578436,1.37542324,1.87919878,1.12735225
